Wavelength (nm),60 s reaction,90 s reaction,120 s reaction,150 s reaction,180 s reaction,210 s reaction,240 s reaction,270 s reaction,300 s reaction,330 s reaction,360 s reaction,390 s reaction,420 s reaction,570 s reaction,600 s reaction
413.9299927,77.87011719,61.91529465,118.3806763,124.1656494,150.2828827,184.2101288,171.3353271,197.3786011,147.7876434,229.0750275,217.2446136,261.8434143,235.8977203,234.5071411,259.9592896
415,77.99572754,61.64865875,118.8741989,124.2126083,150.2809906,186.282135,171.0818939,198.5131378,147.6316223,229.5240021,219.6652679,263.5808105,236.4801331,238.6367798,261.1370239
416.0599976,77.7973938,61.95775604,119.1674805,123.9614029,151.2989197,186.7049255,172.1768646,198.4687347,148.5251923,230.1726532,220.3458099,264.1966248,237.7856445,241.9822235,262.5502319
416.9599915,78.98632813,62.0307579,120.5541611,124.5486298,152.0787506,187.5540466,173.0410156,199.7470398,148.4816132,230.8695068,219.4846191,264.3174744,238.4789276,243.6543427,265.4022827
418.0299988,78.97042084,62.04791641,121.416008,125.1563721,153.1682587,188.7644653,173.6355438,201.2984161,148.9076538,231.0566559,220.0613098,266.2857361,240.1018066,247.6754303,265.5185547
418.9299927,79.91348267,62.3932991,120.8830185,126.2435608,153.4313507,190.6903992,173.8060913,201.3402405,148.5269012,231.4779358,222.34198,268.0740356,240.4472656,248.5585938,267.4118652
420,79.85094452,63.10128403,120.8690872,126.5776749,153.2022247,189.334259,173.5231476,199.747818,148.4884949,231.8097076,222.2288666,269.7000427,240.802063,249.7159119,268.6646729
421.0599976,79.41575623,62.59323502,121.085968,125.2430496,153.2145386,189.5196075,173.0651398,200.5561218,148.1792908,232.4181213,222.0977173,268.8999939,240.0488739,251.9893646,267.5322266
421.9599915,79.38205719,63.30243683,121.766571,125.259758,152.9760742,189.3388062,172.9478302,201.2228241,147.8054657,230.9404602,220.975296,267.8617554,239.7796478,253.9431152,268.2848816
423.0299988,78.75554657,62.83818817,120.8109055,124.1678848,152.2581787,189.0137939,173.0712738,199.4669495,147.1546326,228.8858795,221.8164215,266.9901428,238.5660706,254.0417023,266.8331299
423.9299927,78.46603394,63.17777252,120.2179794,123.9860382,151.739624,188.5443878,171.6651764,199.6417694,145.5895386,228.7300568,219.7405396,266.4482422,236.8487091,254.6811676,266.1713867
425,78.57980347,63.03139877,119.8674774,123.3838501,152.1228333,187.0335388,171.6481323,197.2141724,145.183136,227.5597229,218.7406464,265.6950073,235.3348083,254.6042175,266.1694641
426.0599976,78.13342285,63.17853928,119.9191818,121.9916687,150.5447845,186.8288879,170.2757568,196.1881714,144.8331757,226.8890076,218.0627289,263.655426,234.9816284,256.4283752,264.9960938
426.9599915,77.5541153,62.91477966,118.358078,121.752594,149.2332764,185.4700928,167.2521057,195.4998169,144.2340088,224.1048737,216.162384,263.5136108,233.6952057,256.7620544,263.4810791
428.0299988,76.8914032,62.06761169,118.6196747,121.5743942,148.2825928,183.905838,167.0549622,194.4559021,142.7623901,223.3160858,214.7322693,262.8381653,231.2788849,257.1661987,264.7070313
428.9299927,76.31262207,61.83385468,118.0208893,120.9207687,149.242157,185.8530884,167.8119507,193.9449463,141.7568512,221.7077332,214.2852936,261.1826477,233.0723572,259.0664368,264.8160095
430,76.91149902,61.650383,118.4591751,120.9309387,148.5310516,183.6700745,168.2258911,194.833313,142.0166626,222.2296906,214.8157196,261.3256531,232.8548431,262.1218262,265.6383667
431.0700073,76.82408142,60.86513519,117.9533157,120.2083588,148.6863251,184.6869354,168.4909363,195.7567902,141.7022095,224.865921,214.000885,263.2514343,232.605423,264.3075256,266.2241821
432,76.21521759,60.95651627,118.246376,120.7611771,149.3122864,186.8188629,167.6520844,194.3013916,142.0691833,224.1098328,214.5914917,263.7097168,233.4286346,266.230835,267.3540039
433.0700073,77.27732086,60.80075455,118.0279846,120.1573868,148.6927643,185.5802002,166.6544647,195.1246796,140.9873657,223.647934,214.8663177,263.7897339,233.7862701,267.9798279,267.465332
434,76.67153168,60.78651047,117.9055328,121.0060883,147.7724152,186.1852722,166.9725952,194.8175354,140.583725,222.5769958,214.9419098,263.2261658,232.7108917,269.699646,268.3251953
435.0700073,75.67179871,60.45993042,117.4288635,119.6775131,148.0602112,186.015213,167.9320068,194.4034119,139.1792603,220.7482147,212.0890961,262.2860413,232.4833984,270.740448,267.9985962
436,75.26528168,60.18069839,118.0237122,118.5930557,147.3306122,185.0754089,167.0650177,193.9202118,139.0443268,220.2437744,211.8578644,261.9411621,230.6760712,272.8056946,266.8940125
437.0700073,75.89904022,60.48441696,116.4943619,119.616188,147.8105469,184.1617279,165.8731079,192.9467621,139.1178741,218.5840759,212.4477692,261.586792,231.2453003,275.0010376,267.444458
438,76.12926483,60.03321838,117.349823,118.8518066,148.0644989,185.1202545,165.9763336,193.83078,137.6971283,220.3968964,212.9651337,263.087677,230.7393494,278.2840576,268.4327087
439.0700073,75.86911011,59.58353043,117.560379,119.696228,148.4506989,185.1204376,166.4615479,194.4571381,137.8570404,221.2838287,212.506012,263.1357422,231.2858276,280.2901917,268.1297302
440,76.20768738,59.77162552,117.584549,119.7082825,147.9235077,184.957489,166.1058807,193.7714233,138.8444672,219.3857269,212.0596313,262.4332886,231.4516602,280.9483948,269.6688232
441.0599976,75.25226593,59.38469696,117.0035858,118.1815262,147.8894043,184.4914703,165.326889,193.1273804,137.171524,218.7536621,210.6192322,262.1717529,229.0810089,279.7406311,268.203949
441.9599915,74.59775543,59.78027725,117.1729584,117.3323212,146.7835541,183.9980927,163.7556305,191.9579926,137.2640991,217.6530151,208.568924,260.8889771,229.079071,279.8663635,266.5635376
443.0299988,74.35801697,59.4515419,117.2081528,117.7555542,146.334671,183.0084991,163.4650421,190.3444519,136.3764191,217.7467804,209.206665,259.5042725,228.5095825,281.7531433,265.8890381
443.9299927,74.19487762,58.56951904,115.8373413,116.8363113,146.3853149,183.1164246,162.7241516,191.465683,135.8960266,217.4167023,207.4796906,259.8738098,228.71698,281.3460083,265.2155762
445,73.68325806,58.70716476,115.704071,117.6414642,145.6533508,182.5149689,162.5294342,189.9356537,135.1202698,216.1772308,208.4879913,259.6556396,227.7269287,285.4506226,265.3499146
446.0599976,74.57162476,59.15456009,115.633606,117.0931549,144.4000092,183.0406799,162.5431976,191.1071167,135.0086212,215.9526215,207.8422546,260.2695313,226.5876312,283.5798035,265.3865967
446.9599915,73.05413818,58.12542343,115.5160065,116.2585068,144.6703491,182.2452698,162.8319244,189.4745026,134.4684296,216.5813599,206.6924591,257.0173645,226.0618896,287.5472717,264.8323364
448.0299988,72.19302368,58.59766769,114.3184128,115.7168045,143.89328,180.8393555,160.1417847,187.6937256,133.6463318,213.7595215,206.1624756,255.485321,224.883194,284.3199463,263.1184998
448.9299927,72.06861115,58.65136337,114.0389786,115.0232315,143.9577942,179.174118,158.693222,187.4394989,132.2578583,211.3775177,203.6414337,255.7831421,221.9891052,281.7667542,261.3192444
450,71.11631775,58.42610168,112.9478531,114.2516022,140.973114,178.1072693,158.1542511,185.4721832,130.4519196,210.0591583,202.6605377,253.0718384,217.9970703,284.0610046,258.4896851
