Wavelength (nm),30 s reaction,30 s reaction_overnight,300 s reaction,300 s reaction_overnight,600 s reaction,600 s reaction_overnight
613.9992676,-0.003989185,0.009053945,0.004614372,0.013475334,0.010838148,0.014562119
612.9998169,-0.004034582,0.009043584,0.004528803,0.013342833,0.010728763,0.014354016
612.000061,-0.003901763,0.008979652,0.004712937,0.013550133,0.010749964,0.014612313
611.0001221,-0.003865999,0.00900238,0.004752767,0.01360443,0.01052949,0.014567232
609.9998169,-0.003802469,0.009198045,0.004606209,0.013601251,0.0111632,0.014665378
608.9993286,-0.003902225,0.009378245,0.004788335,0.013589045,0.012166706,0.014717539
607.9984741,-0.003961277,0.009042738,0.00471804,0.013687024,0.011469492,0.014686852
606.9974365,-0.003884215,0.009085663,0.004867803,0.013721193,0.010717222,0.014848102
605.9961548,-0.003763874,0.009323151,0.005082749,0.01388874,0.010659251,0.014978357
604.9945068,-0.003737338,0.009379568,0.004987923,0.013949362,0.011876416,0.015182015
603.9926758,-0.003744268,0.009496895,0.005125154,0.014071085,0.012336344,0.015215712
602.9905396,-0.00376218,0.009365682,0.005023275,0.014027503,0.012598427,0.015245042
601.9881592,-0.003628509,0.009290913,0.005571664,0.014124779,0.012313575,0.015499632
600.9854126,-0.003794104,0.009305326,0.005352859,0.014193457,0.012211112,0.015461861
599.982605,-0.003627328,0.00952158,0.005480769,0.014455995,0.012065077,0.015795333
599.0164795,-0.003538549,0.009473083,0.005822664,0.014416683,0.01171592,0.015844354
598.0131226,-0.003397874,0.009511896,0.005953835,0.0145107,0.011070675,0.015855389
597.0093994,-0.003604942,0.009671792,0.005687626,0.014533397,0.012678857,0.01603977
596.0054321,-0.003661314,0.009616052,0.005898045,0.014631053,0.013134513,0.016060747
595.0012207,-0.003618856,0.009512981,0.005871412,0.014670974,0.01300321,0.016152032
593.9967651,-0.003477693,0.009547248,0.006188329,0.014865594,0.013316728,0.016414599
592.9919434,-0.003632924,0.009452156,0.006101531,0.014880676,0.013262253,0.016518839
591.9869385,-0.003361298,0.009677589,0.006432277,0.015083081,0.013209146,0.016735973
590.9817505,-0.00341087,0.00966716,0.006243001,0.015161562,0.013152736,0.016700972
590.0134888,-0.003448572,0.009654429,0.006343381,0.015224559,0.013751651,0.017035587
589.0076904,-0.003507686,0.009557276,0.006516777,0.015353559,0.013953318,0.017086256
588.0015869,-0.003419654,0.009655435,0.006722709,0.015580548,0.014118227,0.017356744
586.9953003,-0.003404192,0.009593663,0.006811156,0.015426026,0.014155212,0.017540632
585.9887695,-0.003234748,0.009745541,0.006949833,0.015740519,0.014391074,0.01787921
584.9819946,-0.003305709,0.009781017,0.007085423,0.015767362,0.014508746,0.018031128
584.012207,-0.003056911,0.010102284,0.007362784,0.016110042,0.015125241,0.018576236
583.0048828,-0.00308539,0.009997535,0.007686852,0.016256019,0.015445928,0.018862739
581.9973145,-0.00319415,0.009879146,0.007504534,0.016204292,0.015839495,0.019089568
580.989563,-0.003072487,0.009978622,0.008128646,0.016549896,0.016431348,0.019643348
579.9813843,-0.003121064,0.009888812,0.008289379,0.0168461,0.016724672,0.020116406
579.010498,-0.002996604,0.009893022,0.008423302,0.01682842,0.017140431,0.020563651
578.0018921,-0.002964365,0.010129151,0.008745733,0.017099503,0.017831443,0.021197343
576.993042,-0.00289484,0.010231441,0.009129835,0.017275281,0.018428855,0.02189656
575.9839478,-0.002930838,0.010130794,0.009257434,0.01745908,0.019521272,0.022716112
575.0119629,-0.002968427,0.010128276,0.009554921,0.017640207,0.020710889,0.023583345
574.0024414,-0.00281481,0.010235787,0.010063285,0.018341573,0.021844538,0.024863834
572.9926147,-0.002978557,0.010233084,0.010199188,0.018614197,0.022807606,0.026012868
571.9825439,-0.002815685,0.010565932,0.010874854,0.019232061,0.025374915,0.027579078
571.0096436,-0.002796138,0.010412733,0.011477704,0.019501805,0.027103117,0.028861905
569.9990234,-0.002670453,0.010452559,0.012493926,0.020095963,0.02902239,0.031080907
568.9882202,-0.002877508,0.010616674,0.012866881,0.020566285,0.031246277,0.033166386
568.0146484,-0.002523525,0.010521534,0.013869097,0.021557529,0.033814382,0.035879321
567.0032959,-0.002684037,0.0106705,0.01466503,0.022322262,0.037438922,0.038891591
565.9917603,-0.002530937,0.010805956,0.01588342,0.02331944,0.041732907,0.042183332
565.017334,-0.002525224,0.010781675,0.016916662,0.024378022,0.045644365,0.04568845
