Wavelength (nm),Run 2 60 s,Run 3 30 s,Run 4 360 s,Run 5 150 s,Run 6 30 s,Run 7 120 s,Run 8 150 s,Run 9 30 s
498.0299988,190.2397614,71.88122559,155.8707581,116.7210999,202.0841827,142.3149261,356.694458,154.3317261
498.9299927,194.7545624,75.55580139,158.65242,124.1080017,208.0390167,148.8534088,374.1173401,162.2182312
500,202.2660065,79.52785492,163.1477814,132.187912,212.5501404,155.87677,392.1874695,168.798584
501.0400085,212.0788422,82.92575836,168.1774902,141.2886353,217.9707336,163.4962311,413.6669922,175.8057861
501.9400024,215.1932373,86.39962769,170.8440857,147.9542999,221.6785736,166.9987946,427.3996887,181.6503906
502.980011,223.7748566,89.79177094,173.557663,155.4279938,222.5186005,172.5827332,442.8768311,187.8758392
504.019989,226.9124756,93.22914124,176.444046,162.8531036,225.6648865,176.7214661,455.3212585,192.8041229
505.0700073,235.1372528,96.40629578,179.432785,169.6686859,226.6649017,180.8427277,465.8175354,196.0507507
505.9700012,239.1958618,98.72013855,181.8142548,174.8558807,225.0261841,183.5487366,474.6914978,199.0717163
507.0100098,247.7636414,102.0797806,181.971817,180.0868988,225.7425385,185.3571625,480.9257507,200.6723175
508.0499878,253.4918823,104.6916046,182.2698975,184.8120422,224.1673126,187.1984406,484.8432007,202.6575012
508.9500122,256.4309998,105.7636108,183.4755859,187.813736,221.63974,186.5841217,486.479187,203.0017853
510,261.704834,107.9513397,184.0706482,189.4750977,217.5533142,187.168335,486.2658386,202.5889282
511.0400085,266.7200623,108.3723984,182.8760071,190.1227722,211.65271,185.4066467,480.1011353,201.0046539
511.9400024,267.2601318,109.7582016,181.2087708,190.4629364,207.7788696,182.1362915,477.7112732,200.0604858
512.9799805,270.2336731,108.0694275,179.1210175,189.9638977,200.1993256,180.9568787,466.9451904,196.5826721
514.0200195,271.5231628,107.6450348,176.8952179,186.8067322,192.0420074,176.1455536,455.9584045,191.299942
515.0700073,271.5088806,107.3644943,173.7485962,183.1961212,185.1335907,171.6125488,441.0402527,186.2112732
515.9699707,270.8648071,106.156723,171.5640564,180.6140137,177.4970551,168.0478668,431.6954041,184.3050232
517.0100098,267.4460449,103.8956223,168.5224915,175.9019623,171.3162994,163.3314362,415.3334961,177.8903656
518.0499878,264.7330322,102.0044556,165.1283264,170.0886383,162.1952972,158.4048615,398.6260681,173.3760986
518.9500122,262.1400146,99.52728271,162.8416748,164.6839752,153.6521759,152.7271118,383.056488,168.4569855
520,258.6434937,94.50737,158.9199371,158.0625916,146.0326385,147.4337616,364.1938782,162.7432556
521.039978,251.9999695,91.32462311,156.0309601,151.4994354,137.8818817,141.5129852,345.2996826,158.496933
521.9400024,246.3570862,89.30279541,152.423996,145.1091003,133.3680573,136.5528717,333.1595154,153.5544586
522.9799805,237.2457123,84.61811829,148.466095,136.9622803,125.4556961,130.5800629,312.5518799,148.9028778
524.0200195,231.4033508,79.96625519,144.4845428,129.0587616,118.9309998,125.0649109,294.9291992,143.2792511
525.0700073,223.0918121,76.00512695,141.6740417,122.2694092,112.0678177,119.1960907,274.5986938,138.1204834
